Source: https://algomaster.io/practice/dsa-patterns,,,,,
,,,,,
Topic,Title,LeetCode Link,Problem,Solved,Bookmark
Queues,Reveal Cards In Increasing Order,https://leetcode.com/problems/reveal-cards-in-increasing-order,Reveal Cards In Increasing Order,,
Monotonic Queue,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,,
Monotonic Queue,Jump Game VI,https://leetcode.com/problems/jump-game-vi,Jump Game VI,,
Monotonic Queue,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,,
Monotonic Queue,Max Value of Equation,https://leetcode.com/problems/max-value-of-equation,Max Value of Equation,,
Bucket Sort,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency,Sort Characters By Frequency,,
Bucket Sort,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,,
Bucket Sort,Maximum Gap,https://leetcode.com/problems/maximum-gap,Maximum Gap,,
Recursion,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,,
Recursion,"Pow(x, n)",https://leetcode.com/problems/powx-n,"Pow(x, n)",,
Recursion,Decode String,https://leetcode.com/problems/decode-string,Decode String,,
Divide and Conquer,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Convert Sorted List to Binary Search Tree,,
Divide and Conquer,Construct Quad Tree,https://leetcode.com/problems/construct-quad-tree,Construct Quad Tree,,
Divide and Conquer,Maximum Binary Tree,https://leetcode.com/problems/maximum-binary-tree,Maximum Binary Tree,,
Merge Sort,Sort List,https://leetcode.com/problems/sort-list,Sort List,,
Merge Sort,Reverse Pairs,https://leetcode.com/problems/reverse-pairs,Reverse Pairs,,
QuickSort / QuickSelect,Sort Colors,https://leetcode.com/problems/sort-colors,Sort Colors,,
QuickSort / QuickSelect,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,,
Binary Search,Search Insert Position,https://leetcode.com/problems/search-insert-position,Search Insert Position,,
Binary Search,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,,
Binary Search,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,,
Binary Search,Find Peak Element,https://leetcode.com/problems/find-peak-element,Find Peak Element,,
Binary Search,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,,
Binary Search,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,,
Binary Search,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,,
Binary Search,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,,
Binary Search,Find in Mountain Array,https://leetcode.com/problems/find-in-mountain-array,Find in Mountain Array,,
Binary Search,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,,
Backtracking,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,,
Backtracking,Permutations,https://leetcode.com/problems/permutations,Permutations,,
Backtracking,Subsets,https://leetcode.com/problems/subsets,Subsets,,
Backtracking,Combination Sum,https://leetcode.com/problems/combination-sum,Combination Sum,,
Backtracking,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,,
Backtracking,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,,
Backtracking,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning,Palindrome Partitioning,,
Backtracking,N-Queens,https://leetcode.com/problems/n-queens,N-Queens,,
Tree Traversal - Level Order,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,Binary Tree Level Order Traversal,,
Tree Traversal - Level Order,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,,
Tree Traversal - Level Order,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,,
Tree Traversal - Level Order,Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,Populating Next Right Pointers in Each Node II,,
Tree Traversal - Level Order,Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree,Maximum Width of Binary Tree,,
Tree Traversal - Pre Order,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal,Binary Tree Preorder Traversal,,
Tree Traversal - Pre Order,Same Tree,https://leetcode.com/problems/same-tree,Same Tree,,
Tree Traversal - Pre Order,Symmetric Tree,https://leetcode.com/problems/symmetric-tree,Symmetric Tree,,
Tree Traversal - Pre Order,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths,Binary Tree Paths,,
Tree Traversal - Pre Order,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,Convert Sorted Array to Binary Search Tree,,
Tree Traversal - Pre Order,Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes,Count Complete Tree Nodes,,
Tree Traversal - Pre Order,Path Sum III,https://leetcode.com/problems/path-sum-iii,Path Sum III,,
Tree Traversal - Pre Order,Maximum Difference Between Node and Ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,Maximum Difference Between Node and Ancestor,,
Tree Traversal - Pre Order,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,,
Tree Traversal - Pre Order,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,Construct Binary Tree from Inorder and Postorder Traversal,,
Tree Traversal - Pre Order,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,,
Tree Traversal - In Order,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal,Binary Tree Inorder Traversal,,
Tree Traversal - In Order,Minimum Distance Between BST Nodes,https://leetcode.com/problems/minimum-distance-between-bst-nodes,Minimum Distance Between BST Nodes,,
Tree Traversal - In Order,Minimum Absolute Difference in BST,https://leetcode.com/problems/minimum-absolute-difference-in-bst,Minimum Absolute Difference in BST,,
Tree Traversal - In Order,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,,
Tree Traversal - In Order,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,,
Tree Traversal - In Order,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator,Binary Search Tree Iterator,,
Tree Traversal - Post-Order,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal,Binary Tree Postorder Traversal,,
Tree Traversal - Post-Order,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree,Invert Binary Tree,,
Tree Traversal - Post-Order,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,,
Tree Traversal - Post-Order,Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest,Delete Nodes And Return Forest,,
Tree Traversal - Post-Order,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,,
Tree Traversal - Post-Order,Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees,Find Duplicate Subtrees,,
